,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Windspeed
0,92,ZA,82,-34.53,20.04,64.4,3.36
1,12,ET,74,8.96,38.73,44.18,2.71
2,90,ZA,82,-33.93,18.42,62.6,11.41
3,75,PG,57,-5.86,144.23,75.2,11.41
4,20,NO,68,78.22,15.63,24.8,9.17
5,0,ET,82,14.12,38.72,47.06,2.48
6,92,BR,99,-30.17,-50.22,67.58,4.38
7,8,AU,84,-33.64,115.35,68.3,4.83
8,20,GR,87,39.42,22.43,53.6,2.24
9,56,JM,92,17.89,-77.59,74.33,4.5
10,90,CA,97,69.44,-133.03,32.0,10.29
11,1,US,81,26.05,-97.95,82.15,3.36
12,12,CD,96,2.79,24.73,71.36,2.15
13,5,MX,44,28.39,-105.62,60.8,4.7
14,5,CA,79,62.45,-114.38,28.4,8.05
15,40,JP,74,33.37,134.14,78.8,4.7
16,1,US,66,19.71,-155.08,68.52,3.36
17,90,US,92,38.88,-99.33,42.6,12.75
18,40,AR,64,-54.81,-68.31,37.4,32.21
19,75,JP,57,35.73,140.83,76.05,3.36
20,80,AO,100,-15.19,12.15,67.22,5.39
21,12,RU,92,70.62,147.9,21.32,9.98
22,56,PF,95,-23.12,-134.97,75.14,12.77
23,80,ZA,96,-34.42,19.24,56.33,2.93
24,8,IN,48,21.69,75.09,82.16,4.16
25,90,NA,87,-22.95,14.51,57.2,5.82
26,36,IN,98,15.34,74.49,72.44,2.59
27,24,PH,87,13.13,123.76,84.05,2.48
28,40,CL,74,-53.16,-70.91,37.4,18.34
29,12,RU,94,68.05,39.51,36.62,14.12
30,0,NG,91,10.3,10.93,72.35,8.63
31,0,AU,49,-33.21,138.6,63.53,11.43
32,92,GH,100,4.89,-1.75,76.13,5.73
33,0,AR,72,-34.61,-58.36,58.95,8.05
34,40,DZ,72,36.36,6.61,64.4,11.41
35,20,GB,100,50.12,-5.53,57.2,13.87
36,36,PH,93,17.08,122.42,82.79,6.62
37,92,BR,95,-22.97,-42.02,73.52,16.02
38,32,NG,90,9.92,8.9,64.16,3.83
39,92,CK,100,-21.21,-159.78,73.79,16.58
40,68,RU,96,73.51,80.55,38.15,22.62
41,20,US,93,42.65,-73.75,65.19,4.61
42,0,TL,31,-8.93,125.41,87.83,2.04
43,90,US,80,47.93,-96.78,39.69,12.75
44,75,BN,74,5.28,115.24,88.72,2.24
45,92,KZ,69,52.55,62.49,42.2,3.83
46,0,PE,62,-17.17,-70.89,53.0,2.48
47,75,CA,85,63.75,-68.52,21.2,13.87
48,90,CA,68,55.74,-97.86,28.4,4.7
49,24,GL,100,72.79,-56.15,24.65,6.73
50,0,KI,100,3.07,172.79,84.23,7.96
51,90,ZA,88,-33.02,27.91,62.6,11.41
52,92,NZ,100,-46.19,168.86,42.65,8.3
53,5,MX,55,23.99,-104.67,60.8,8.05
54,0,ZA,98,-33.59,26.89,64.16,2.82
55,56,LK,100,6.12,81.12,77.39,11.32
56,92,RU,99,66.0,57.56,34.73,14.56
57,56,GL,100,77.48,-69.36,16.1,10.76
58,92,RU,97,50.68,156.12,46.97,12.33
59,80,RU,79,62.53,155.8,26.81,4.16
60,1,US,60,21.35,-158.09,81.19,8.05
61,88,RU,94,69.38,178.42,36.8,10.65
62,36,AR,44,-38.31,-60.23,47.96,7.4
63,92,RU,93,71.97,114.09,31.85,18.03
64,64,PF,99,-9.8,-139.03,80.9,17.69
65,88,MV,100,3.78,72.97,82.34,11.88
66,40,RU,45,59.58,151.3,48.2,2.24
67,0,MX,91,27.97,-114.04,65.06,7.52
68,0,AU,74,-37.83,140.78,59.48,8.08
69,1,US,93,43.41,-124.22,51.8,4.72
70,64,ES,93,41.35,-1.64,57.2,1.12
71,48,AU,9,-20.31,118.58,104.0,17.22
72,0,AU,28,-23.58,149.07,93.05,11.43
73,92,ES,100,38.09,-1.8,53.45,2.71
74,0,PT,89,41.42,-6.55,40.4,3.38
75,0,CN,62,28.28,88.52,22.13,0.92
76,0,RU,93,45.21,39.57,51.8,6.71
77,0,NZ,42,-39.94,176.59,63.17,16.24
78,1,US,91,36.07,-79.4,69.42,7.18
